name,project_link,owner,address,area,sell_date,progress,price,scale,latlong,page_number
"
Bàu Cát II
",https://batdongsan.com.vn/can-ho-chung-cu-tan-binh/bau-cat-ii-pj1286,Công ty CP Đầu tư  Xây dựng Tân Bình,"Hồng Lạc, P.10, Q.Tân Bình, TP. Hồ Chí Minh",43.000 m²,,"
Đã hoàn thành
",20 triệu/m²,Gồm: 6 chung cư,"10.7861471176147,106.645042419434",p87
"
Tecco Green Nest
",https://batdongsan.com.vn/can-ho-chung-cu-quan-12/tecco-green-nest-pj1305,Công ty CP Đầu tư Phát triển Xây dựng Hoàng Nam,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",17.552 m²,,"
Đang cập nhật
",,,"10.8297462463379,106.609970092773",p86
"
Trung Đông Plaza
",https://batdongsan.com.vn/can-ho-chung-cu-tan-phu/trung-dong-plaza-pj1289,Công ty CP Tư vấn Đầu tư và Phát triển Trung Đông,"30 Trịnh Đình Thảo, phường Hoà Thạnh, Quận Tân Phú, TPHCM",2.053 m²,Tháng 4/2012,"
Đang cập nhật
",15 triệu/m²,"18 tầng nổi, 2 tầng hầm","10.7744884490967,106.635192871094",p87
"
I-Home 1
",https://batdongsan.com.vn/can-ho-chung-cu-go-vap/i-home-1-pj1293,C.T Group,"359 Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TP HCM",5.807 m²,2016,"
Đang cập nhật
",14 triệu/m²,"18 tầng nổi, 02 tầng hầm","10.8507423400879,106.653770446777",p87
"
Chung cư Mỹ Đức
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/chung-cu-my-duc-pj1294,Công ty Cổ phần Xây Dựng Số 5,"220 Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, TPHCM",32.775 m²,,"
Đã hoàn thành
",19.5 triệu/m²,21 tầng (4 block nhà cao 21 tầng),"10.7984018325806,106.712905883789",p87
"
Chung cư Khánh Hội 1
",https://batdongsan.com.vn/can-ho-chung-cu-quan-4/chung-cu-khanh-hoi-1-pj1306,Công ty CP Xuất nhập khẩu Khánh Hội (KHAHOMEX),"Đường Bến Vân Đồn, phường 1, quận 4, Tp.HCM",5.238 m²,Quý II/2005,"
Đang cập nhật
",,15 tầng nổi và 1 tầng với 330 căn hộ,"10.7544002532959,106.690490722656",p86
"
Chung cư An Lộc
",https://batdongsan.com.vn/can-ho-chung-cu-go-vap/chung-cu-an-loc-pj1303,Công ty Cổ phần Xây Dựng Số 5,"Số 7, Phường 17, Gò Vấp , Tp.HCM , Việt Nam",,Quý II/2008,"
Đã hoàn thành
",13.5 triệu/m²,,"10.8467826843262,106.6767578125",p86
"
Chung cư Hà Kiều
",https://batdongsan.com.vn/can-ho-chung-cu-go-vap/chung-cu-ha-kieu-pj1304,Công ty TNHH MTV Xây dựng và Kinh doanh Nhà Phú Nhuận,"Phường 5, Gò Vấp , Tp.HCM, Việt Nam",,,"
Đã hoàn thành
",,,"10.8358402252197,106.688507080078",p86
"
Lê Thành Tân Tạo
",https://batdongsan.com.vn/can-ho-chung-cu-binh-tan/le-thanh-tan-tao-pj1297,Công ty TNHH Thương mại - Xây dựng Lê Thành,"Đường Sông Suối, phường Tân Tạo, quận Bình Tân , Tp.HCM , Việt Nam",33.000 m²,,"
Đã hoàn thành
",,"4 block, cao 15 tầng, hơn 2464 căn hộ","10.763973236084,106.579307556152",p86
"
Bee Home 2
",https://batdongsan.com.vn/can-ho-chung-cu-go-vap/bee-home-2-pj1295,C.T Group,"359 Phạm Văn Chiêu, Phường 14, Q. Gò Vấp, Tp.HCM",5.807 m²,Tháng 4/ 2014,"
Đang cập nhật
",,1 Block căn hộ 18 tầng,"10.8539171218872,106.664947509766",p87
"
Sunview Town
",https://batdongsan.com.vn/can-ho-chung-cu-thu-duc/sunview-town-pj1257,Tập đoàn Đất Xanh,"Đường Gò Dưa, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",36.697 m²,Năm 2015,"
Đang cập nhật
",10.9 triệu/m²,Gồm 4 Block cao 18 tầng với 1.603 căn hộ,"10.8657083511353,106.727432250977",p88
"
Khu nhà ở xã hội Blue House
",https://batdongsan.com.vn/can-ho-chung-cu-son-tra-ddn/khu-nha-o-xa-hoi-blue-house-pj1259,Công ty CP Đức Mạnh,"Nại Hiên Đông, Sơn Trà, Đà Nẵng",,,"
Đang cập nhật
",,725 căn hộ chung cư được bố trí trong 3 khối nhà 9 tầng,"16.0924682617188,108.228736877441",p88
"
Homyland 2
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/homyland-2-pj1266,Công ty CP Xây dựng - Giao thông - Thương mại Bảo Sơn,"307 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",11.519 m²,Quý III/2014,"
Đã hoàn thành
",16 triệu/m²,Cao 18 tầng được thiết kế thành 2 khối A & B,"21.0306224822998,105.84886932373",p88
